warehouseName,itemName,sku,size,color,barcode,closingStock,reserved,damaged,inTransit
REBEL MASS EXPORT PVT LTD,AW24SS0011-0004136 MUSTARD,0004136-L,L,,0004136-L,62,0,0,0
REBEL MASS EXPORT PVT LTD,AW24WL0001-0003767 BLACK,0003767-XXL,XXL,,0003767-XXL,62,0,0,0
REBEL MASS EXPORT PVT LTD,DNM25-34-0012 GREY/BLK,DA1265-76.20CM(30),76.20CM (30),,DA1265-76.20CM(30),62,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0001-0006831 GOLDEN,0006831-XL,XL,,0006831-XL,62,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0031 SKY BLUE,DA0603-XL,XL,,DA0603-XL,62,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0072 NAVY,DA3498-XXL,XXL,,DA3498-XXL,61,0,0,0
REBEL MASS EXPORT PVT LTD,CSH25-0002-0006673 WHT/GREY,0006673-M,M,,0006673-M,61,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0001-0003730 MAROON,0003730-XL,XL,,0003730-XL,60,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0012-0004140 BEIGE,0004140-L,L,,0004140-L,60,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0015-0005011 GREY,0005011-L,L,,0005011-L,60,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0015-0005012 GREY,0005012-XL,XL,,0005012-XL,60,0,0,0
REBEL MASS EXPORT PVT LTD,CSH25-0065 KHAKI,DA2390-M,M,,DA2390-M,60,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0006-0007015 PINK,0007015-XL,XL,,0007015-XL,60,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0002-0003734 BEIGE,0003734-XL,XL,,0003734-XL,59,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0001-0006846 GREY,0006846-L,L,,0006846-L,59,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0025 SKY BLUE,DA0578-L,L,,DA0578-L,59,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0031 SKY BLUE,DA0602-L,L,,DA0602-L,59,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SH0168-0006063 WHITE,0006063-XL,XL,,0006063-XL,58,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0001-0003729 MAROON,0003729-L,L,,0003729-L,58,0,0,0
REBEL MASS EXPORT PVT LTD,CSS25-15-0007-0007223 L.GREEN,0007223-XL,XL,,0007223-XL,58,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0006-0007014 PINK,0007014-L,L,,0007014-L,58,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0053 WHITE,DA2084-XL,XL,,DA2084-XL,58,0,0,0
