storeName,itemName,sku,size,color,barcode,closingStock,inTransit,damaged,sold,returned,rate,value
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),FSH25-0070 WHITE,DA3139-XL,XL,,DA3139,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),FSH25-0072 BLACK,DA3492-L,L,,DA3492,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),FTR25-0075 BLACK,DA3070-81.28CM(32),81.28CM (32),,DA3070,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),FTR25-0077 GREEN,DA3085-81.28CM(32),81.28CM (32),,DA3085,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),FTR25-0080 CREAM,DA3106-86.36CM(34),86.36CM (34),,DA3106,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),JKT26-0001 BLACK,DA3892-XL,XL,,DA3892,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),JKT26-0001 WHITE,DA3887-L,L,,DA3887,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS25-0012 D.GREY,DA2129-XL,XL,,DA2129,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS25-0012 MAROON,DA2339-L,L,,DA2339,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS25-0012 SKY,DA2122-XXL,XXL,,DA2122,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS25-0020 B.GREEN,DA2115-M,M,,DA2115,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS25-0020 BLACK,DA2112-L,L,,DA2112,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS25-0021 WHT/BLK,DA1659-L,L,,DA1659,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS25-0048 BLACK,DA2155-M,M,,DA2155,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS25-0048 BLACK,DA2158-XXL,XXL,,DA2158,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS25-0054A NAVY,DA2373-L,L,,DA2373,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS25-0054A NAVY,DA2374-XL,XL,,DA2374,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS25-0054B NAVY,DA2377-M,M,,DA2377,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS25-0054C OLIVE,DA2383-L,L,,DA2383,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS26-0002 GREY/BLUE,BM0074-L,L,,BM0074,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS26-0002 GREY/BLUE,BM0073-M,M,,BM0073,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS26-0002 GREY/BLUE,BM0075-XL,XL,,BM0075,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS26-0003 MEHROON,BM0078-L,L,,BM0078,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS26-0003 WHITE,BM0006-L,L,,BM0006,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS26-0008 SEA GREEN/WHT,BM0119-XL,XL,,BM0119,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),2PC25-0027 KHAKI/GREY,DA1884-106.68CM(42),106.68CM (42),,DA1884,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),ASR-SHIRT-0004813 N/A,0004813-L,L,,0004813,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24BL0004-0003600 BLACK,0003600-96.52CM(38),96.52CM (38),,0003600,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24BL0004-0003602 BLACK,0003602-106.68CM(42),106.68CM (42),,0003602,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24BL0004-0003603 BLACK,0003603-111.76CM(44),111.76CM (44),,0003603,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24BL0012-0004436 BLACK,0004436-106.68CM(42),106.68CM (42),,0004436,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24BL0012-0004437 BLACK,0004437-111.76CM(44),111.76CM (44),,0004437,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24BL0012-0004438 BLUE,0004438-96.52CM(38),96.52CM (38),,0004438,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24BL0012-0004441 BLUE,0004441-111.76CM(44),111.76CM (44),,0004441,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24BL0013-0004410 GREEN,0004410-96.52CM(38),96.52CM (38),,0004410,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24BL0013-0004418 ICE/BLUE,0004418-96.52CM(38),96.52CM (38),,0004418,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24BL0013-0004419 ICE/BLUE,0004419-101.6CM(40),101.6CM (40),,0004419,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24BL0013-0004420 ICE/BLUE,0004420-106.68CM(42),106.68CM (42),,0004420,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24BL0013-0004421 ICE/BLUE,0004421-111.76CM(44),111.76CM (44),,0004421,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24CR0002A-0004299 TINT BLUE,0004299-91.44CM(36),91.44CM (36),,0004299,2,0,0,0,0,0,0
